order_id,order_time,zone,category,order_value,delivery_time_mins,weather,delivery_cost,discount,freshness_hrs_left,contribution_margin
100035,2025-01-16 20:30:00,Koramangala,Beverages,1097.57,15,Clear,40,50,500,1007.5699999999999
100036,2025-01-01 00:24:00,HSR Layout,Beverages,449.51,40,Rainy,45,0,500,404.51
100037,2025-01-07 19:18:00,Koramangala,Perishable,758.14,26,Rainy,40,0,4,718.14
100038,2025-01-02 20:37:00,Whitefield,Snacks,209.72,12,Clear,40,0,500,169.72
100039,2025-01-03 15:38:00,Indiranagar,Snacks,573.96,17,Clear,40,100,500,433.96000000000004
100040,2025-01-20 21:02:00,Jayanagar,Perishable,590.19,20,Clear,40,0,14,550.19
100041,2025-01-22 14:45:00,HSR Layout,Snacks,428.9,14,Clear,40,0,500,388.9
100042,2025-01-15 13:20:00,Indiranagar,Perishable,631.2,13,Clear,40,0,35,591.2
100043,2025-01-07 19:32:00,HSR Layout,Snacks,1129.92,12,Clear,40,0,500,1089.92
100044,2025-01-12 21:18:00,Koramangala,Beverages,1025.43,19,Clear,40,100,500,885.4300000000001
100045,2025-01-26 08:41:00,Jayanagar,Perishable,851.26,34,Rainy,45,0,9,806.26
100046,2025-01-09 20:07:00,Indiranagar,Snacks,435.97,16,Clear,40,0,500,395.97
100047,2025-01-07 20:43:00,HSR Layout,Beverages,413.68,11,Clear,40,0,500,373.68
100048,2025-01-21 17:27:00,HSR Layout,Perishable,153.72,14,Clear,40,0,11,113.72
100049,2025-01-24 02:28:00,Jayanagar,Beverages,738.95,13,Clear,40,0,500,698.95
100050,2025-01-31 03:56:00,Koramangala,Perishable,1026.32,14,Clear,40,50,9,936.3199999999999
100051,2025-01-02 13:19:00,HSR Layout,Perishable,1093.87,16,Clear,40,0,43,1053.87
100052,2025-01-04 21:22:00,Jayanagar,Beverages,1172.53,14,Clear,40,0,500,1132.53
100053,2025-01-28 16:10:00,Koramangala,Beverages,176.03,35,Rainy,45,50,500,81.03
100054,2025-01-26 11:42:00,Koramangala,Home Needs,317.16,13,Clear,40,50,500,227.16000000000003
100055,2025-01-28 12:02:00,Whitefield,Snacks,359.55,24,Clear,40,0,500,319.55
100056,2025-01-10 21:52:00,Koramangala,Snacks,174.85,31,Rainy,45,50,500,79.85
100057,2025-01-11 18:17:00,Indiranagar,Home Needs,518.7,22,Cloudy,40,100,500,378.70000000000005
100058,2025-01-11 20:01:00,Indiranagar,Home Needs,337.5,18,Clear,40,0,500,297.5
100059,2025-01-04 21:38:00,Whitefield,Home Needs,914.97,20,Clear,40,50,500,824.97
100060,2025-01-20 20:32:00,Indiranagar,Beverages,1094.48,16,Cloudy,40,0,500,1054.48
100061,2025-01-02 13:45:00,Whitefield,Perishable,695.92,16,Clear,40,0,28,655.92
100062,2025-01-03 11:42:00,HSR Layout,Home Needs,846.56,13,Clear,40,0,500,806.56
100063,2025-01-17 20:19:00,Whitefield,Home Needs,572.52,19,Cloudy,40,100,500,432.52
100064,2025-01-05 00:12:00,Whitefield,Beverages,861.18,15,Clear,40,100,500,721.18
100065,2025-01-19 17:19:00,Whitefield,Perishable,469.07,16,Clear,40,50,38,379.07
100066,2025-01-20 08:41:00,HSR Layout,Beverages,613.88,16,Clear,40,100,500,473.88
100067,2025-01-16 21:50:00,Koramangala,Perishable,447.98,20,Clear,40,0,16,407.98
100068,2025-01-22 17:19:00,Koramangala,Snacks,304.72,26,Rainy,40,0,500,264.72
100069,2025-01-16 15:39:00,Indiranagar,Beverages,585.16,16,Cloudy,40,50,500,495.15999999999997
100070,2025-01-16 22:25:00,Koramangala,Snacks,838.86,10,Clear,40,0,500,798.86
100071,2025-01-25 17:27:00,Koramangala,Snacks,994.32,24,Clear,40,0,500,954.32
100072,2025-01-18 12:15:00,Indiranagar,Beverages,290.01,24,Clear,40,100,500,150.01
100073,2025-01-18 18:38:00,HSR Layout,Beverages,793.28,23,Clear,40,100,500,653.28
100074,2025-01-15 05:57:00,Koramangala,Beverages,622.57,17,Clear,40,0,500,582.57
100075,2025-01-25 21:49:00,Jayanagar,Beverages,808.09,18,Clear,40,50,500,718.09
100076,2025-01-03 08:45:00,HSR Layout,Snacks,435.3,20,Clear,40,100,500,295.3
100077,2025-01-03 23:08:00,Koramangala,Snacks,552.19,14,Clear,40,0,500,512.19
100078,2025-01-03 19:26:00,Whitefield,Home Needs,719.74,38,Rainy,45,0,500,674.74
100079,2025-01-07 11:53:00,Whitefield,Beverages,1100.08,25,Rainy,40,100,500,960.0799999999999
100080,2025-01-13 15:30:00,Indiranagar,Home Needs,463.54,22,Clear,40,50,500,373.54
100081,2025-01-18 18:47:00,Jayanagar,Snacks,662.64,18,Clear,40,50,500,572.64
100082,2025-01-16 07:01:00,Whitefield,Home Needs,852.32,37,Rainy,45,0,500,807.32
100083,2025-01-27 13:29:00,Koramangala,Perishable,1102.28,10,Clear,40,0,42,1062.28
100084,2025-01-14 04:08:00,Whitefield,Snacks,202.8,22,Clear,40,0,500,162.8
100085,2025-01-07 19:29:00,HSR Layout,Home Needs,949.29,22,Clear,40,0,500,909.29
100086,2025-01-25 17:53:00,Whitefield,Home Needs,1026.66,25,Clear,40,0,500,986.6600000000001
100087,2025-01-24 19:34:00,Indiranagar,Home Needs,385.43,12,Clear,40,0,500,345.43
100088,2025-01-25 19:01:00,Koramangala,Snacks,1031.19,14,Clear,40,0,500,991.19
100089,2025-01-05 21:30:00,Indiranagar,Snacks,638.29,18,Clear,40,0,500,598.29
100090,2025-01-06 14:38:00,Jayanagar,Perishable,966.68,15,Clear,40,0,7,926.68
100091,2025-01-19 21:01:00,HSR Layout,Beverages,566.49,16,Cloudy,40,0,500,526.49
100092,2025-01-19 11:44:00,Koramangala,Perishable,882.05,19,Clear,40,100,8,742.05
100093,2025-01-26 20:36:00,Indiranagar,Home Needs,709.38,21,Clear,40,0,500,669.38
100094,2025-01-17 18:41:00,HSR Layout,Perishable,1042.05,25,Clear,40,0,28,1002.05
100095,2025-01-31 07:23:00,Whitefield,Snacks,607.26,18,Cloudy,40,100,500,467.26
100096,2025-01-26 21:58:00,Jayanagar,Beverages,638.12,18,Clear,40,0,500,598.12
100097,2025-01-28 14:15:00,Indiranagar,Home Needs,1075.71,17,Clear,40,50,500,985.71
100098,2025-01-19 19:39:00,Whitefield,Home Needs,180.13,20,Cloudy,40,0,500,140.13
100099,2025-01-16 21:13:00,HSR Layout,Home Needs,507.36,33,Rainy,45,100,500,362.36
100100,2025-01-01 19:33:00,Koramangala,Perishable,403.42,23,Clear,40,50,36,313.42
100101,2025-01-25 09:15:00,Whitefield,Beverages,620.58,10,Cloudy,40,0,500,580.58
100102,2025-01-10 18:14:00,Whitefield,Snacks,471.52,21,Clear,40,50,500,381.52
100103,2025-01-18 07:33:00,HSR Layout,Beverages,1196.46,20,Clear,40,0,500,1156.46
100104,2025-01-23 00:29:00,HSR Layout,Home Needs,413.97,13,Clear,40,0,500,373.97
100105,2025-01-11 18:07:00,Jayanagar,Snacks,351.12,25,Clear,40,0,500,311.12
100106,2025-01-24 19:37:00,Jayanagar,Home Needs,1179.54,16,Clear,40,0,500,1139.54
100107,2025-01-08 19:23:00,Koramangala,Home Needs,164.86,14,Clear,40,0,500,124.86000000000001
100108,2025-01-02 13:03:00,Jayanagar,Home Needs,882.29,29,Rainy,40,50,500,792.29
100109,2025-01-04 19:55:00,Indiranagar,Home Needs,642.87,39,Rainy,45,0,500,597.87
100110,2025-01-06 19:03:00,HSR Layout,Beverages,269.79,12,Clear,40,50,500,179.79000000000002
100111,2025-01-16 07:04:00,Jayanagar,Perishable,309.31,19,Clear,40,0,16,269.31
100112,2025-01-04 11:35:00,Whitefield,Snacks,964.48,22,Clear,40,50,500,874.48
100113,2025-01-30 22:28:00,HSR Layout,Beverages,470.65,11,Clear,40,100,500,330.65
100114,2025-01-31 21:47:00,Indiranagar,Snacks,806.79,18,Clear,40,0,500,766.79
100115,2025-01-06 20:15:00,Koramangala,Perishable,314.36,23,Clear,40,50,45,224.36
100116,2025-01-20 18:30:00,HSR Layout,Perishable,393.05,19,Clear,40,50,5,303.05
100117,2025-01-22 10:14:00,HSR Layout,Snacks,596.4,32,Rainy,45,0,500,551.4
100118,2025-01-30 12:17:00,Koramangala,Perishable,212.62,19,Clear,40,100,48,72.62
100119,2025-01-27 19:36:00,HSR Layout,Beverages,280.57,19,Clear,40,50,500,190.57
100120,2025-01-31 21:17:00,Jayanagar,Beverages,609.65,11,Cloudy,40,50,500,519.65
100121,2025-01-24 21:20:00,Jayanagar,Home Needs,177.16,17,Clear,40,100,500,37.16
100122,2025-01-19 01:01:00,HSR Layout,Perishable,951.26,15,Cloudy,40,50,34,861.26
100123,2025-01-21 17:28:00,HSR Layout,Snacks,1196.79,23,Cloudy,40,50,500,1106.79
100124,2025-01-03 22:30:00,HSR Layout,Beverages,499.97,13,Cloudy,40,0,500,459.97
100125,2025-01-11 12:26:00,Whitefield,Home Needs,845.71,22,Clear,40,100,500,705.71
100126,2025-01-02 20:29:00,Indiranagar,Home Needs,415.02,13,Clear,40,50,500,325.02
100127,2025-01-28 09:32:00,Indiranagar,Beverages,583.91,16,Clear,40,100,500,443.90999999999997
100128,2025-01-12 21:39:00,Whitefield,Beverages,947.99,16,Clear,40,0,500,907.99
100129,2025-01-18 18:08:00,HSR Layout,Beverages,1074.89,25,Clear,40,0,500,1034.89
100130,2025-01-01 18:40:00,Jayanagar,Snacks,895.27,19,Cloudy,40,100,500,755.27
100131,2025-01-01 08:35:00,Whitefield,Perishable,385.94,13,Clear,40,50,8,295.94
100132,2025-01-21 21:53:00,Koramangala,Beverages,1129.29,34,Rainy,45,100,500,984.29
100133,2025-01-23 19:17:00,Whitefield,Beverages,1179.26,32,Rainy,45,50,500,1084.26
100134,2025-01-18 15:09:00,Whitefield,Snacks,1117.96,14,Clear,40,0,500,1077.96
100135,2025-01-09 20:49:00,Whitefield,Home Needs,1130.96,33,Rainy,45,0,500,1085.96
100136,2025-01-10 21:46:00,HSR Layout,Beverages,1058.52,24,Cloudy,40,100,500,918.52
100137,2025-01-16 17:22:00,HSR Layout,Beverages,628.11,20,Clear,40,0,500,588.11
100138,2025-01-23 20:15:00,Jayanagar,Beverages,395.24,23,Clear,40,0,500,355.24
100139,2025-01-11 19:47:00,Whitefield,Beverages,555.38,29,Rainy,40,50,500,465.38
100140,2025-01-31 21:02:00,Koramangala,Home Needs,1063.19,24,Clear,40,0,500,1023.19
100141,2025-01-17 15:58:00,Whitefield,Perishable,908.57,23,Clear,40,0,5,868.57
100142,2025-01-16 18:50:00,HSR Layout,Home Needs,804.42,22,Clear,40,0,500,764.42
100143,2025-01-28 17:21:00,Jayanagar,Beverages,1151.85,25,Clear,40,100,500,1011.8499999999999
100144,2025-01-02 12:39:00,Indiranagar,Snacks,812.72,19,Clear,40,0,500,772.72
100145,2025-01-24 03:05:00,Whitefield,Perishable,948.39,13,Clear,40,50,11,858.39
100146,2025-01-23 20:19:00,Indiranagar,Perishable,490.59,11,Clear,40,0,23,450.59
100147,2025-01-12 08:27:00,Koramangala,Snacks,707.72,15,Clear,40,0,500,667.72
100148,2025-01-06 20:05:00,Jayanagar,Beverages,800.7,17,Clear,40,50,500,710.7
100149,2025-01-30 18:37:00,Koramangala,Snacks,634.21,18,Clear,40,50,500,544.21
100150,2025-01-09 05:42:00,Indiranagar,Beverages,1096.27,15,Clear,40,0,500,1056.27
100151,2025-01-15 18:22:00,Jayanagar,Home Needs,820.89,23,Clear,40,0,500,780.89
100152,2025-01-15 19:54:00,HSR Layout,Snacks,1199.34,25,Cloudy,40,0,500,1159.34
100153,2025-01-08 17:24:00,Jayanagar,Home Needs,753.55,19,Clear,40,0,500,713.55
100154,2025-01-27 20:42:00,Whitefield,Home Needs,158.5,11,Clear,40,100,500,18.5
100155,2025-01-24 17:31:00,HSR Layout,Snacks,787.42,21,Clear,40,0,500,747.42
100156,2025-01-21 02:12:00,Jayanagar,Home Needs,861.65,14,Cloudy,40,0,500,821.65
100157,2025-01-29 20:40:00,Indiranagar,Home Needs,978.04,11,Clear,40,100,500,838.04
100158,2025-01-12 16:46:00,Koramangala,Perishable,1105.11,20,Clear,40,50,12,1015.1099999999999
100159,2025-01-07 09:08:00,Jayanagar,Home Needs,707.39,18,Clear,40,0,500,667.39
100160,2025-01-09 18:58:00,Whitefield,Home Needs,933.89,35,Rainy,45,0,500,888.89
100161,2025-01-15 19:04:00,Koramangala,Snacks,1053.15,22,Clear,40,100,500,913.1500000000001
100162,2025-01-12 21:05:00,Whitefield,Perishable,427.68,28,Rainy,40,50,24,337.68
100163,2025-01-22 18:47:00,HSR Layout,Beverages,1013.54,21,Clear,40,0,500,973.54
100164,2025-01-22 17:14:00,Whitefield,Perishable,800.52,20,Clear,40,100,15,660.52
100165,2025-01-21 14:04:00,Whitefield,Home Needs,831.7,28,Rainy,40,0,500,791.7
100166,2025-01-02 01:02:00,HSR Layout,Beverages,271.93,17,Clear,40,100,500,131.93
100167,2025-01-05 04:24:00,Whitefield,Home Needs,854.01,23,Clear,40,100,500,714.01
100168,2025-01-24 21:46:00,Koramangala,Beverages,837.67,40,Rainy,45,100,500,692.67
100169,2025-01-14 17:17:00,Indiranagar,Home Needs,378.13,24,Clear,40,0,500,338.13
100170,2025-01-28 17:23:00,Indiranagar,Home Needs,721.69,21,Clear,40,0,500,681.69
100171,2025-01-13 09:17:00,Koramangala,Perishable,1146.46,24,Clear,40,0,43,1106.46
100172,2025-01-07 16:41:00,Jayanagar,Perishable,203.11,20,Clear,40,0,9,163.11
100173,2025-01-26 19:36:00,Koramangala,Perishable,1021.31,16,Clear,40,100,14,881.31
100174,2025-01-27 15:55:00,Koramangala,Home Needs,963.09,10,Clear,40,0,500,923.09
100175,2025-01-28 17:09:00,Koramangala,Home Needs,988.44,13,Cloudy,40,0,500,948.44
100176,2025-01-05 19:00:00,HSR Layout,Snacks,768.3,10,Clear,40,0,500,728.3
100177,2025-01-09 07:03:00,Koramangala,Beverages,702.39,12,Clear,40,50,500,612.39
100178,2025-01-15 02:49:00,HSR Layout,Perishable,624.61,17,Clear,40,100,3,484.61
100179,2025-01-24 21:50:00,Jayanagar,Home Needs,630.94,10,Clear,40,0,500,590.94
100180,2025-01-16 16:54:00,Whitefield,Beverages,870.4,25,Clear,40,50,500,780.4
100181,2025-01-03 17:57:00,Indiranagar,Home Needs,788.71,12,Clear,40,0,500,748.71
100182,2025-01-09 21:39:00,Jayanagar,Home Needs,549.95,19,Clear,40,50,500,459.95000000000005
100183,2025-01-17 22:38:00,Whitefield,Perishable,982.75,13,Cloudy,40,100,47,842.75
100184,2025-01-28 10:13:00,Whitefield,Beverages,1082.5,23,Clear,40,0,500,1042.5
100185,2025-01-27 07:29:00,Whitefield,Beverages,916.09,20,Clear,40,50,500,826.09
100186,2025-01-11 07:42:00,HSR Layout,Home Needs,1151.27,25,Clear,40,0,500,1111.27
100187,2025-01-03 07:53:00,Indiranagar,Perishable,603.47,21,Clear,40,0,36,563.47
100188,2025-01-02 20:37:00,Jayanagar,Home Needs,853.51,23,Clear,40,0,500,813.51
100189,2025-01-28 20:42:00,Whitefield,Perishable,1166.82,19,Clear,40,0,7,1126.82
100190,2025-01-19 08:32:00,Koramangala,Snacks,839.57,17,Clear,40,0,500,799.57
100191,2025-01-12 18:54:00,Jayanagar,Home Needs,270.63,18,Cloudy,40,100,500,130.63
100192,2025-01-08 19:51:00,Whitefield,Perishable,789.44,33,Rainy,45,0,12,744.44
100193,2025-01-09 12:44:00,HSR Layout,Home Needs,518.57,15,Clear,40,0,500,478.57000000000005
100194,2025-01-19 20:42:00,Whitefield,Perishable,298.97,25,Rainy,40,0,48,258.97
100195,2025-01-17 23:13:00,Whitefield,Beverages,626.33,15,Clear,40,0,500,586.33
100196,2025-01-10 15:46:00,HSR Layout,Perishable,1077.51,29,Rainy,40,0,40,1037.51
100197,2025-01-02 14:43:00,Indiranagar,Home Needs,615.27,23,Cloudy,40,50,500,525.27
100198,2025-01-20 21:28:00,Whitefield,Home Needs,376.35,13,Clear,40,0,500,336.35
100199,2025-01-14 20:07:00,HSR Layout,Beverages,703.28,34,Rainy,45,0,500,658.28
100200,2025-01-08 07:25:00,Jayanagar,Perishable,158.07,19,Cloudy,40,0,9,118.07
100201,2025-01-25 17:16:00,HSR Layout,Home Needs,275.98,40,Rainy,45,50,500,180.98000000000002
100202,2025-01-06 13:08:00,Whitefield,Snacks,675.28,21,Cloudy,40,0,500,635.28
100203,2025-01-13 16:55:00,Indiranagar,Beverages,169.68,12,Clear,40,0,500,129.68
100204,2025-01-19 21:27:00,Jayanagar,Beverages,894.97,23,Clear,40,0,500,854.97
100205,2025-01-04 13:25:00,Indiranagar,Home Needs,330.47,24,Cloudy,40,0,500,290.47
100206,2025-01-03 21:27:00,Indiranagar,Snacks,607.46,22,Clear,40,100,500,467.46000000000004
100207,2025-01-03 18:25:00,HSR Layout,Home Needs,382.65,15,Clear,40,0,500,342.65
100208,2025-01-17 12:40:00,Indiranagar,Snacks,1101.22,21,Clear,40,0,500,1061.22
100209,2025-01-24 19:52:00,Koramangala,Snacks,257.94,33,Rainy,45,0,500,212.94
100210,2025-01-06 20:38:00,Koramangala,Perishable,336.0,40,Rainy,45,50,37,241.0
100211,2025-01-25 07:37:00,Whitefield,Home Needs,1057.46,20,Clear,40,0,500,1017.46
100212,2025-01-15 05:04:00,Whitefield,Beverages,812.95,18,Clear,40,100,500,672.95
100213,2025-01-02 17:22:00,Jayanagar,Perishable,475.93,24,Cloudy,40,0,4,435.93
100214,2025-01-12 14:53:00,HSR Layout,Perishable,826.9,12,Clear,40,100,39,686.9
100215,2025-01-17 08:24:00,Whitefield,Perishable,622.22,31,Rainy,45,0,39,577.22
100216,2025-01-16 18:32:00,Koramangala,Perishable,623.05,20,Clear,40,0,33,583.05
100217,2025-01-21 07:11:00,Indiranagar,Snacks,893.0,39,Rainy,45,100,500,748.0
100218,2025-01-17 07:39:00,Koramangala,Home Needs,541.49,34,Rainy,45,50,500,446.49
100219,2025-01-14 19:49:00,HSR Layout,Perishable,978.69,20,Clear,40,0,22,938.69
100220,2025-01-04 07:35:00,Whitefield,Home Needs,414.6,14,Cloudy,40,0,500,374.6
100221,2025-01-03 15:37:00,Koramangala,Home Needs,475.74,22,Clear,40,0,500,435.74
100222,2025-01-20 20:45:00,Indiranagar,Home Needs,736.87,20,Cloudy,40,0,500,696.87
100223,2025-01-22 23:44:00,Jayanagar,Perishable,828.33,38,Rainy,45,100,24,683.33
100224,2025-01-01 15:23:00,HSR Layout,Snacks,1148.73,20,Clear,40,50,500,1058.73
100225,2025-01-07 20:14:00,Koramangala,Snacks,231.02,13,Clear,40,100,500,91.02000000000001
100226,2025-01-25 17:34:00,Jayanagar,Perishable,845.03,14,Cloudy,40,100,25,705.03
100227,2025-01-05 08:10:00,Koramangala,Snacks,907.24,11,Clear,40,50,500,817.24
100228,2025-01-12 01:43:00,Koramangala,Beverages,791.13,24,Clear,40,0,500,751.13
100229,2025-01-18 05:15:00,HSR Layout,Beverages,1099.17,16,Clear,40,0,500,1059.17
100230,2025-01-22 08:36:00,Whitefield,Beverages,957.91,22,Clear,40,100,500,817.91
100231,2025-01-17 20:26:00,Koramangala,Snacks,991.32,14,Clear,40,0,500,951.32
100232,2025-01-02 22:41:00,Whitefield,Home Needs,732.27,13,Clear,40,100,500,592.27
100233,2025-01-28 12:07:00,HSR Layout,Perishable,951.27,18,Cloudy,40,50,33,861.27
100234,2025-01-05 10:53:00,Whitefield,Perishable,1143.73,17,Cloudy,40,50,23,1053.73
100235,2025-01-30 01:01:00,Whitefield,Perishable,566.28,21,Cloudy,40,0,25,526.28
100236,2025-01-03 04:23:00,Koramangala,Perishable,484.62,13,Cloudy,40,0,10,444.62
100237,2025-01-05 18:02:00,HSR Layout,Beverages,880.88,14,Cloudy,40,50,500,790.88
100238,2025-01-15 07:39:00,Indiranagar,Perishable,169.95,16,Clear,40,0,36,129.95
100239,2025-01-31 22:46:00,Jayanagar,Beverages,266.75,19,Clear,40,0,500,226.75
100240,2025-01-10 18:07:00,Indiranagar,Snacks,590.82,24,Clear,40,0,500,550.82
100241,2025-01-04 17:53:00,Whitefield,Perishable,813.55,17,Clear,40,0,19,773.55
100242,2025-01-14 18:00:00,Jayanagar,Home Needs,402.59,23,Cloudy,40,0,500,362.59
100243,2025-01-22 04:42:00,Indiranagar,Home Needs,221.06,10,Clear,40,50,500,131.06
100244,2025-01-28 21:30:00,Indiranagar,Beverages,1180.09,18,Cloudy,40,0,500,1140.09
100245,2025-01-12 17:50:00,Indiranagar,Home Needs,403.18,13,Clear,40,100,500,263.18
100246,2025-01-24 12:48:00,HSR Layout,Snacks,196.55,20,Clear,40,0,500,156.55
100247,2025-01-27 17:49:00,Whitefield,Beverages,813.32,14,Clear,40,0,500,773.32
100248,2025-01-23 18:49:00,Whitefield,Perishable,458.11,11,Clear,40,0,3,418.11
100249,2025-01-11 22:59:00,HSR Layout,Beverages,1188.58,25,Cloudy,40,0,500,1148.58
100250,2025-01-02 19:48:00,Koramangala,Home Needs,524.82,11,Clear,40,0,500,484.82000000000005
100251,2025-01-09 13:07:00,HSR Layout,Beverages,1083.96,39,Rainy,45,50,500,988.96
100252,2025-01-11 19:11:00,Whitefield,Beverages,535.71,18,Clear,40,0,500,495.71000000000004
100253,2025-01-24 21:27:00,Indiranagar,Beverages,782.58,30,Rainy,40,100,500,642.58
100254,2025-01-10 21:20:00,Indiranagar,Perishable,494.32,34,Rainy,45,0,29,449.32
100255,2025-01-20 18:45:00,Whitefield,Snacks,874.25,21,Clear,40,50,500,784.25
100256,2025-01-02 21:46:00,HSR Layout,Beverages,438.28,11,Cloudy,40,0,500,398.28
100257,2025-01-22 04:40:00,Whitefield,Home Needs,688.74,15,Clear,40,0,500,648.74
100258,2025-01-05 15:54:00,Jayanagar,Beverages,186.54,27,Rainy,40,0,500,146.54
100259,2025-01-25 23:41:00,HSR Layout,Home Needs,552.0,11,Clear,40,100,500,412.0
100260,2025-01-05 18:43:00,Whitefield,Home Needs,540.61,12,Clear,40,100,500,400.61
100261,2025-01-05 22:33:00,HSR Layout,Beverages,480.1,33,Rainy,45,0,500,435.1
100262,2025-01-31 20:07:00,Indiranagar,Snacks,674.0,22,Clear,40,100,500,534.0
100263,2025-01-04 16:16:00,HSR Layout,Beverages,375.3,19,Clear,40,50,500,285.3
100264,2025-01-07 05:07:00,Koramangala,Perishable,624.64,24,Cloudy,40,0,44,584.64
100265,2025-01-31 20:54:00,HSR Layout,Home Needs,895.02,19,Cloudy,40,0,500,855.02
100266,2025-01-28 23:10:00,Koramangala,Home Needs,684.19,13,Clear,40,0,500,644.19
100267,2025-01-26 20:08:00,Koramangala,Beverages,177.6,21,Cloudy,40,50,500,87.6
100268,2025-01-26 20:35:00,Koramangala,Perishable,219.04,22,Clear,40,50,34,129.04
100269,2025-01-14 17:49:00,Whitefield,Perishable,281.59,20,Clear,40,0,29,241.58999999999997
100270,2025-01-15 21:43:00,Jayanagar,Home Needs,284.75,15,Clear,40,0,500,244.75
100271,2025-01-14 11:32:00,Indiranagar,Perishable,694.01,19,Clear,40,0,11,654.01
100272,2025-01-11 18:59:00,Koramangala,Home Needs,1144.86,19,Clear,40,0,500,1104.86
100273,2025-01-09 08:12:00,Jayanagar,Home Needs,281.43,19,Clear,40,100,500,141.43
100274,2025-01-18 17:05:00,Jayanagar,Snacks,771.4,29,Rainy,40,0,500,731.4
100275,2025-01-22 17:39:00,Jayanagar,Home Needs,1034.66,11,Cloudy,40,0,500,994.6600000000001
100276,2025-01-03 18:02:00,Jayanagar,Home Needs,833.69,23,Clear,40,100,500,693.69
100277,2025-01-21 21:01:00,Whitefield,Home Needs,824.0,19,Clear,40,50,500,734.0
100278,2025-01-08 08:51:00,Whitefield,Home Needs,626.22,11,Clear,40,0,500,586.22
100279,2025-01-15 20:26:00,Whitefield,Beverages,364.22,14,Clear,40,0,500,324.22
100280,2025-01-28 19:45:00,HSR Layout,Home Needs,1174.14,14,Clear,40,0,500,1134.14
100281,2025-01-17 08:35:00,Indiranagar,Home Needs,403.82,13,Clear,40,0,500,363.82
